review_text,rating,isrecommended
The fabric of the leggings was really poor. The seems were frayed. Have other gymshark leggings and these are definitely the worst quality.,1,FALSE
"Didn’t move a mm, absolutely love the snug fit and colour",5,TRUE
LOVE them. Colour and fit are beautiful if you’re thinking of buying them then 100% do it,5,TRUE
"Super sportoutfit,die Qualität, das tragegefühl und die passform sind perfekt",5,TRUE
My 16 year old twins have been sports mad all their lives. Have worn every brand of leggings & now only choose Gymshark. That's it.,5,TRUE
That it is friggin awesome and the Grey colour goes amazing with the Camo,5,TRUE
"Skönt material, dom är squatproof och ger fina ”former”",5,TRUE
"Love the product, really good fit and true to size!",5,TRUE
"I love my leggings. True to size. Squat proof. Slimming. I would recommend these to everyone. Best leggings I own. Actually, Gymshark are the only leggings I own.",5,TRUE
"Taille réelle, ben ajusté, super bonne qualité de tissus, les top de sport tiennent le tout en place à la perfection",5,TRUE
"Great fit and one of my new favorite shirts!
Really worth the price",5,TRUE
"For 'high support' its not that supportive. Although it fitted ok, i did a few practice star jumps to see what the support was like and I'd give it 5/10 - my chest still jumped when i jumped. For the price (& the brand) i expected them to be as secure as the ordering of a takeaway the day after a bender. For ref: im 36c & tried M&L. Returned both.",2,FALSE
"I have the Vital 2.0 shorts in pink and they fit perfectly, so was excited to get them in green. Unfortunately I had to return them as they are a size too small and made my legs look like stuffed sausages. The Energy shorts in small fit a lot better. Won’t buy the Vital 2.0 again if they have changed the sizing",1,FALSE
"Such great quality and very supportive; however, I sized up like recommended but it was still too small",4,TRUE
It’s a bit too long for my liking but outside of that great hoodie,3,FALSE
"Sitzt sehr eng und kann nicht mit dunkler Unterwäsche drunter getragen werden, sonst ganz nett, aber etwas heller als auf der Abbildung.",3,FALSE
This was my first purchase and the pieces that I bought fit perfectly. It’s a lot of stretch so you’ll definitely be comfortable when you workout.,5,TRUE
"I was really hesitant of buying but I am so glad I did. The material is amazing and super stretchy. The set I bought was 100% squat proof and I would say it is sweat proof as well! After a HIIT workout, I was dripping in sweat, but my outfit looked perfect. The waist band is super compressive and really holds you in. It rolls down a little bit if you have pudge when you sit but that is to be expected for me. I also recommend looking at the size guide as everything fits true to size. I am 160 lbs, 5’8”, waist 29 hips 42, I wear a size 6 in lululemon and most denim companies, and ordered a M. I am a 36C and got a L top but I think I could have gotten away with a M in both. I absolutely love this outfit and plan on buying more!",5,TRUE
Super comfy and a great fit. The white is such a lovely colour for the hoody and it has lasted very well so far.,5,TRUE
The fit is sensational and so comfy! I can’t wait to wear these to do some exercise,5,TRUE
